text,true_label,predicted_label,confidence
I love this song and I love u bhupendrr me isse true love kerti hu gyas dua kero wo mucjhe dhokha mat dee plzz,sad,happy,0.91456413
Black money ko mudda bana ke mai aaye the.. Aaya kya baba ji ja jhumla,neutral,anger,0.9136578
Nice video that you mujhy amazon k jungle par video mil sakti hai kya urdu me??,neutral,happy,0.91330415
Keep sapport bhai ha mera,neutral,happy,0.91329837
"Derasal corona ki wajha sey student gheirhazer aur GOREY GADDY HAZER JANAB. KHATTAK B TU PORANA , nass k ayya hai ANP sey.......barey Dar war Deiky hein.",neutral,anger,0.9131811
Great video bhai aa gya Yo Yo is back baby,neutral,happy,0.91300136
nice video sir...aese videos bnaya krn ...dmagh ka bhoj halka ho jata..,neutral,happy,0.9128576
Guru u r really superstar...bhai bina rapper ke sabi ki baja di...,neutral,happy,0.91246706
Well spoke Jahan Ara. Ek hamara actor sab hai .,neutral,happy,0.91186774
such a brave lady she is ...... i hope k asa kisi b arki k sath na ho .... ameen,fear,happy,0.9118192
Bhai main aap ki Har ek video dekhta hoon aap acchi video banate Ho god bless you bro,neutral,happy,0.91105837
Please help me sir. I am working at VIVA HOSPITALITY IMLY RESTAURANT New Delhi. Sir mere restaurant ke owner Hamari salary nahi de rahe hai from February month to till now. Sir hame bahut problem ho rahi hai. Sir aab to khaana khaane ke liye bhi Paisa nhi hai,neutral,sad,0.9110133
Agar ab bhi khan sahb insaf na huwa to hum samjhen gy k hm ne ghalat kiya ap ko vote de ke ye apky lye test case hai,neutral,anger,0.9107629
I am in love with yo yo hud wait ni hota yo yo honey singhhh,neutral,happy,0.9106442
bhai kya aap plz Anne Frank key whole true story pr video banayen gy..us key story har jagah different ha... i'll be very greatful...,neutral,happy,0.91055113
Mujhy bary afsos se kehna per raha hei k pakistan mein insaf ka koi door door tak nishan nai. Kiun k ye politicians aur humary idary tamam k tamam sub aik dosry k sahulat kar hein.Yahan insaf ka jhanda sirf ghareb ki qabar per lehrata hei.Model town sanha sahiwal where is justice,sad,anger,0.91012305
its good...4g ni hai es main ...battery timing is good...acha set hai itnyy paison main,happy,neutral,0.9101207
Tum log smjh jao na zindgi aram dah ho jaye gi Or han me kisi politician party se ni hun,neutral,anger,0.90975034
Aap bas lga ke bhejiye ghar. Log paidal hain raaste pe. Politics vo kar dahi hai to aap bhi.,neutral,anger,0.90961355
You make the best vedios on youtube and i am a big fan of you...sir sab log aap k baare main janna chahte hain aap please apne baare main bhi kuch btaaye anything....,neutral,happy,0.90935016
All dislikes are from fans of Emmiway Bantai Samajh me Aaya Kya?,neutral,anger,0.9084841
Yo Yo Honey Singh means brand Honey Bhai I love this song or bi new gana bonao or ek request jym jao or fir se fit ho Kay body bonao,neutral,happy,0.9080766
I love this song because gana or videp dil or chu ti h .qismat.h rab ke hwale .guys NEVE GIVE UP love u so much by,neutral,happy,0.9079205
But is sab mamlay mein mian ka ky qasoor? Karey bewi bharey mian wah ji wah? Phr tou Nawaz shareef ko b apnay bachoo k assests ka jawab de hona chahiye na?,neutral,anger,0.9076458
I think is video pae fastest k likes honge only in min k likes wow,happy,surprise,0.9068878
"""Jo bolta hai wahi hota hai"" still remains the greatest comeback of all time.",neutral,happy,0.9067513
"""Hum best products banayenge."" Lol sure",neutral,happy,0.9056822
ap ke video bhot achy hoti han very geart bro,neutral,happy,0.90548104
Good information But bro ap pehly hello bolty ha phr salam krty ha behtar ha ap srf salam karwn ..,neutral,happy,0.9054238
Muhtaram eman tahir g ap ye eak hi pic bar bar q deti ho dosri koi pic nahi he Weldon imran khan is great leader,neutral,happy,0.90455914
yo yo honey singh is back....wellcome back bhai,neutral,happy,0.9038192
Bhaijan ap itni achi info late kaha se ho. Awesome bro.,surprise,happy,0.90356344
: Mujhe Translator pe Taras aa raha hai Bechari humse zada Frustrated vo hai Lockdown4,neutral,sad,0.9032551
Good job Bhai boht interested video hai aap ki,neutral,happy,0.90309334
Arey dost... Mai sirf AsimSquad ko motivate Karraha hun k dekho gap kitna kam hai.... Or shitarts or fakenaazians se hum Darren q... Unke harane se zyada khud jeetne pe focus karna hai hum logon ko...,happy,anger,0.90229213
I hate you... Meri jaan jyoti I hate you I hate you My love Kb tumko bhulunga mai I will die without you,sad,anger,0.9021878
k Qaidi bhutto na qaid karwaya tha? Defeat deed pa signature us na kia tha? Siyasat hoti rhati hai lekin army ka kam hai mulk ko jor ka rhakna kisi b mahaz pa larna or jeetana sa thora sa hi halaat bhatar hain abi balochistan main lekin army na state rit qaim ki huwi hai.,neutral,anger,0.90199816
Pyar zindagi me ek hi baar hota hai.uski respect karo.song superb..,neutral,happy,0.90191144
Haha acha topi drama kar letey hein app dono mil kay Masha Allah,anger,happy,0.900999
Buhat zabardast mobile hai look diaplay camera battery time sab acha hai is range main buhat acha set hai,neutral,happy,0.90004003
"Awesome video. Bro I like your channel it was superb. Well ab baat krtey hein first video k start wali story ki .yaar larkiyan hein he bewakoof .itna sub kuch jaantey huwey b kuch nhin samajhti bus ik larka mila nhin ,4 baatein huwi nhin k piyaar ho gaya pagal auratein",neutral,happy,0.8999263
Ok to aap india me pakistan ki baat kar rahe hai. Koi baat nahi democracy hai.,neutral,anger,0.89989716
"Jo jo army ke sath galat hota h, wo sb kuch corruption ki wzh se hi h, Defence minister ko kuch krna chahiye tha agr ye baat sch h toh. Lekin ek baat ye bhi sochna ki jhuth bolne waale bhi hr jgh hote h.",neutral,anger,0.89973307
ap ki voice mujhe achi lagti hai i want to see your face and har baar ki tarah i like this video very much,neutral,happy,0.8993745
Kyo kya... Mujeh lga tum thi... Toh puchh tha tha.... Akanksha Choudhary same name tha,neutral,anger,0.8992745
"Awesome song Bhai,first time he bohat baar sunliya",neutral,happy,0.89923626
I like this song very sad song Jo bhi kahu Kam h,happy,sad,0.8984471
kew rola dia mujhe... I couldn't understand some word but feel the song entirely ...awesome.... love it... from Bangladesh....,neutral,happy,0.8977046
Modi ji ko aaj pura world sun raha hai...salute to you sir...,neutral,happy,0.89767957
yo yo is back bki singers ki ab jane ki bari a gyi,neutral,happy,0.8969961
best .guru gane views se bade nahi hote dil se hote hain congratulations's new song Good luck,neutral,happy,0.8968272
its all about qismat... kyaa voice hain yaar...love from Bangladesh,neutral,happy,0.896727
Sach to sach hota hai. Live aane ka yhi ghata hai. Vo bhi without prepration. Atleast politician ki mentality ka to pta chala.,neutral,anger,0.89611626
Ab sab bhagega honey is back love yuh,neutral,happy,0.89551026
You can't always understand other one But u can simply love him Teray ishq mein junoon thaa sahib.mger waqt nay tere asliat byaan ki,neutral,happy,0.89529043
Fake news hai aisi koi regiment thi hi nhi azad bharat mein to wafadari ya gaddari ka sawal hi nhi uthta .,neutral,anger,0.8937384
wo aa gaya .... king is back,neutral,happy,0.89275634
Happy to hear this great news....inki acche se lo ye is hi layak hai.,anger,happy,0.8918642
Heart touching song kasam sai dil Ko chu gaya,neutral,sad,0.8913295
Fahad meri jaan I love you so much a Mera Shona Ap mujhe kbhi dhoka na dena I love you my love,fear,happy,0.89120114
"Thori jehe pike , set jehe hoke.... Awesome song Guru sir. The video is also great with a well deserved lyrics...good job to the whole DOWNTOWN team.",neutral,happy,0.8910977
Very nice sir pakistan jheels par bi details say video bnai,neutral,happy,0.89089274
nice story... aasu aa gye yar,neutral,happy,0.8899391
PM ny Ertugl es liya Ptv pr dekhay k ye log iman jagein likn afsoos k ye kuch or e jagnay lagy huay hn...kitna shrm k maqam h na,sad,anger,0.88917124
My love agar muje nhi millta to shayad mera b yahi haal hota meri kasammm...i LOVE U FAROOKH,neutral,happy,0.88867337
Aap apni body phele jesi bana lo aap super hit se update hit ho jaoge yo yo honey Singh is back,neutral,happy,0.8877307
: Please domestic flights start kar do... ghar jana hai.. I will become crazy here.. you are taking b,neutral,surprise,0.88646305
India k bary koi glat nai bolta.. India to love hh iqbal ny kaha tha saary jaha sy axxa hindustan hmara. Bus wo jo kehty na kashmir lyn gy blochistan lym gy uny kehty aap or ly jao.,neutral,anger,0.88610125
Or apko ek fact btaun. Hmary nokar ny pti ko vote dia ku k hmne kaha. Or mere chachu ny pmln. Un ki behs hui k pti ny kia kiya . Wo khud awazar or bolta hy paa g rul gy aan. Wo nokr aj sy char sal pehle bhikari tha hmne rakha to ab behtr life hy. Usne chota sa ghr b bna lia,neutral,anger,0.8858399
ma khod kfc ma kam krata ho .2 sal sa .good nice your video,neutral,happy,0.8849162
Please jaldi aa jao honey Singh bhai....love from West Bengal,neutral,happy,0.88467914
King is back Kaan taras gye the yoyo honey singh sunne ko,neutral,happy,0.8843479
Views counter freeze ho gaya hai... Power of Yo Yo Honey Singh Fans.....,neutral,happy,0.8836931
very nice video Kismat Badal Di vekhi main...,neutral,happy,0.88357073
buhat buhat achi video informative and interesting bhe aisay he acha kam kartay rahain khush rahain ameen bye,neutral,happy,0.8834773
I'm pakistani per ye vidio dekh ker aj india ke u per piyaar aaraha hai I love india,neutral,happy,0.88156146
Duniya ka sabse best song for you,neutral,happy,0.8809224
my favourite song my favourite video sab kuch badal gaya Mera ..........Sachi yrrr miss u,neutral,sad,0.8807127
Bhai is gaane ko sun Kar to bas ek hi cheez ho sakti h vo h ye Very heart touching song,happy,sad,0.88031554
Mza aa gya guru sirWhat a song,happy,surprise,0.8789835
I am saying all involved are guilty. Laws are made for this. Zinna is punishable by law. Applies on man and woman both. Breaking in someones house and harassing them is also illegal. Then please lodge a report. Idhar toppi drama karnay se kya hona hai???,neutral,anger,0.8785326
Rapper King Yo Yo Honey Singh and comedy king Kapil Sharma Dono he come back kar rahe hain,neutral,happy,0.87849045
Food and shelter ka states ni kiya kuch Meri apni ankhodekhi hai.. ab sare states ni kar rahe to kya Kare ab Bol.. aur tere ko pata hai Bengal me gol gappe wale ghum rahe hai.. yeh news me ni.. mummy ne Bataya..,neutral,anger,0.8782473
Bahut sare logon ki Dua mil rahi hai ko. May Allah bless him.,neutral,happy,0.87787867
Jinhon nay mara tha unko apna leader kiun manty hain ap log ali wazir kay hath bandooq kia kar rahi thi,neutral,anger,0.8776177
i like this video im real injoy nice info video dekh kr lagta hai is dunya main buht se aajeb log hain...........,neutral,happy,0.8766995
Mishraji ko to bina paise ke banane aati hai! He is a genius!,happy,surprise,0.8766307
Astaghfirullah This is so creepy and disturbing. Yeh insaan ho hee nai sakta shaitaan hain,anger,surprise,0.87511724
Beautiful sad song... And heart touch kar gayi meri..,neutral,sad,0.8745292
"GOD bhi un ki help krta hai jo apni khud ki help krna janta ho ""God bless u"" ""study is the key of success""",neutral,happy,0.8739452
Zulm hy sindh k nojawano sy lakhon jawan berozgar hen or jobs Punjab walon ko di jarhe hen,sad,anger,0.8733656
Superb who dislike this dil di dedena,happy,anger,0.872638
asli rapper yo yo tha aur hai aur rhega rap ka god one and only yo yo honey singh,neutral,happy,0.8724548
Yo Yo is back Saare Rappers ko Rapper king Honey Singh se class leni chahiye,neutral,happy,0.87119687
Yo yo look acha nhi lag rha tumhara,sad,happy,0.87118334
"I've been single all my life but the song ""Jo tu Na Mila"" by Asim Azhar always makes me emotional.",happy,sad,0.87087077
"it's not bad, it's show's we are failed. This is not a fault of the govt. bcse they are doing what they are for , start thinking for the poor and the middle class because ""RAHEES"" to aaj bhi flight se travel krte hai. bihar_muzaffarpur MigrantWorkers",sad,anger,0.8703576
Yo Yo Honey singh fans hit like button bhai vapas comeback kar liya he,neutral,happy,0.86984855
itni saaf suthri lag rae hai newsfeed after leaving these toxic meme war groups,happy,anger,0.8688893
Savita sharam aayi kya vedio dekh kar mar Joan saare politician,sad,anger,0.86849266
Kya baaaatt..much awaited..Honey Singh is back..,neutral,happy,0.8671406
i miss u babu aur haa plzzzzzzz tm kb b nhi badal naa,fear,sad,0.86519384
Kya pata khane k sath chedhchadh ki gayi ho politics ke chalte,neutral,anger,0.8639975
Yar ap khan sb kehtay hai k hum lock down laga k control kiya... Wo murad saeed kehta hai k New York wala hum say maahwara laita hai... Idhar ap farmarna chahthay hai k hum nay aiwee lock down lagaya,neutral,anger,0.8636308
Nice song h Bhai tbahi video h,neutral,happy,0.86358505
Beautiful song sir.. Aishwarya ki yaad a gai kya lockdown mai free bithe..2,neutral,happy,0.8612371
Lyrics is amazing. Though i do not understand punjabi but this song gives clear reality of todays love. Though i loved this line sab kuch badal gaya mera. Fabalous.,neutral,happy,0.86070293
Ice cream wala scene dekhke to rona agaya...just heartbreaking and unexpected scene...hit like if u agree and cried too,surprise,sad,0.8601204
bht achy hotles hen but iglos best,neutral,happy,0.8579214
"Bol kaise rha hai media lockdown hai fake news bnayi jaa ri hai ,,toh khud isne kya kiya hai,,bina serach k aa gya tha video bnane",neutral,anger,0.8559501
Mai badlte dekhe apne... Heart touching line,neutral,sad,0.8559432
Apas men hi aik dosray k sath dushmani men apni hi zameen ka soda kar bethtay hen foj k hath. Gawadar men sb ka faidah. Lakin india iran k sath mil kar kch baloch hi notes k chakkar men sazishen kar rahay aman nai anay dy rahay. Punjabion ko unki zameen pr qatal karnay walay azad,sad,anger,0.85560244
You also wrote that BJP will not win in UP .But Yogi became CM .22 mein Adygea to Yogi hi aur mien aayega to Modi hi . OK .Now go to chemist shop and have some BURNOL.,neutral,anger,0.8551896
Hahaha Imran khan ki baat kis ne ki... Tum ne humary PM ki baat mtlb pehly baat bhi krty ho jb tum logon ko diya jata to sehh bhi paaty... Wese dunya ma sb se jiada loog India ma bhokay hai unhian khana to doo. Or dosri baat sb se road p loog endia ma sooty hai unhian jagha to do,neutral,anger,0.8546018
IndiansAgainstTikTok Band kro bhai band kro Corona se bhi dangerous bimari hai Ye tiktok,anger,fear,0.8545835
i miss miss miss miss you so much yo yo ......aajo sab ki band bajado ab aakar,neutral,sad,0.85390544
Nice Video Brother And Thanx For Much Information.... possible ho Saky to FRANCE K Related koi Video Banaye...,neutral,happy,0.85180855
Mera wait ho gya bhari ... Beautiful line,neutral,happy,0.85021317
"Sudhir Chaudhary ki FIR pakistan mein hui hai kya? Kashmir ka issue hai aur Kerala mein complaint ho gayi, jahan kisi ko hindi nahi aati. Ravish ke against to kabhi nahi hui koi FIR. Matlab yar itna doglapan kahan se aata hai.",neutral,anger,0.8499848
Yesh I though Sid st and Sana nd Asim ne bs fights ki hae pory season Yar wo kese a sakta ha bs fixed winner na o jaee es liye usy nd par laee hae.. Or Sana ka MSk ka promo dekh kr b hum bhht roee thy u can't blv.. Mujej nend nae ATI thy ye Kia o gya q hwa,neutral,surprise,0.84975374
Aaj nurse day par nursing bharti poori karne ka aade kro sir hum sal se intzar kar rhe han,neutral,sad,0.8496506
Kis Kis ne save karliya song What a Beat song YO YO Rap omg killer,happy,surprise,0.8491417
"Jo log i miss my cllg/uni ke status daal rhay hain. Inhon ne hi sb se ziada rona dalna hai baad mein ke chutiyan nahi hoti, bohot hectic routine hai.",happy,anger,0.8488661
Bhai Khair Hy Baqi tu sabb Theek hy Shimla Sy kiya Dish Tayar Karni hy,neutral,anger,0.8475384
Honey is back.....ab badshah tera kya hoga re baaaba..,neutral,happy,0.8465955
"Laisa lill insana illa masa aaa ""Insan ky piyar with kuch h jiss ky liye woh mehnit krta h"" Selute to uuuh bhae Thumbbb upp for uuh n best wishes for uuuh brooo",neutral,happy,0.84594107
"kisi ke pass guru randhawa ka whats app number hai??? If yes,then give me because I love guru randhawa",happy,neutral,0.84422034
Bilkol bro insan ko zindge m stragglers krty rehna chaeay And you bro good job Hammid meer p bhe ik vedio bnao,neutral,happy,0.84417117
ab punjabi na to punjabi zuban base qomiat prasti karte r na lasaniat prast hain r na he wo koi nasal prasti karte jese racisim kehte balke shia sunni r muslim qomiat pe chalte han zaat paat biradari ka concept hai par nasal prasti ya lasiant prasti nahi,neutral,anger,0.84277534
corona nay econony ko itna tbah ni kia jitna noon league nay kia agar pti ki.jga khuda na khasta noon league ki government hoti mn to corona anay k bad pura mulk tbah o brbad ho jata or puri noon league nay to london bhaag jana tha nwaz ghaddar ki trha,neutral,anger,0.84256834
Ali bhai jb sy hosh snbhala hy yhi nara lgaty r sunty aa rhy han jb k amln kuch nhi hua aj tk. Agr nara hi lgana hy to bra lga lo India bny ga Pakistan.,neutral,anger,0.8420471
kia tha video me ? ijlas k chand din bd he video agai thi k julus k bare me bhi wohe SOP hai jo Saddar ne namaz o taraveeh k liay boli h .,neutral,anger,0.8418889
Ending ne toh rula diya bhai but really song was just awesome,neutral,happy,0.8405581
Nice Trailer honey bhai kaa rocking song hogaa hai I am waiting,neutral,happy,0.83966804
waah waah kya kahne guru randhawan Im your big fan in the univerd,neutral,happy,0.8362583
doctors nae mana kya hae kamar dard hae safar nahin kr sktae sirf London fly kr sktae hien,anger,fear,0.83461547
Aise keh rha hai jaise logon ko pta nhi hai koi CA ye nahi krta: Tax evasion. Money laundering.,neutral,anger,0.83450794
Rooyenge aur bolenge galti ho gayi phirr kya ek lockdown aur denge apni galti sudhar ne ke liye,neutral,anger,0.8344296
Oyyy hoyyy ... Khn khn sy info lyty ho ap ...great job,surprise,happy,0.8335586
I hope ki kishi ki life main yeh mod na aye. This song is so emotions,neutral,sad,0.8332819
"Wase apke khidmat me arz hay k Govt pti k hay javed choudry tho anchor hay. Yani Saal bad ap logo ne nakamio ka Sara malba news channel, sahafio our opposition par dalna hay",neutral,anger,0.8330523
please tell me who is handling your account.. Jo bhi hai he/she is too witty..,happy,neutral,0.832784
Very nice song but Rabbani Baroda yaar Badal De Dil Badal De go to know and fraud that one friend love love fraud girl,neutral,sad,0.83260447
Dekho Dekho aaya kon Rapper king back again,neutral,happy,0.8322149
Guru Ki wajah s like to kia h becoz I love his songs always but something missing in this song I don't know what par waisa mza in aya jaisa guru k songs m har bar ata h,neutral,happy,0.83109516
well done bro..like ur video %..but truth pta ni kitna sacha hai,neutral,happy,0.8301975
Mere baba ne bhi unke dadi ki jahez K plates Sambhal kar rakhe hai jo Beintehaa khubsurat hai aur mahenge bhi...lkn Hume uska price nahi pata chala abhi tak ....nice video keep it up..thanks for Shere with us.,neutral,happy,0.8292904
Yo yo is back mere pahji,neutral,happy,0.82891965
AarPaar congress sirf up main madad kyu kar rahi hai . kal chattisgarh k news aayi log news papers par khana kha rahe hai . others states main madad kyu nahi kar rahi hai,neutral,anger,0.8287524
Yr kitne or hit songs do gy humein ....la Jawab hote hain apk songs main punjabi songs boht kam sunti hu par apka har song sunti hu best of luck for your future,neutral,happy,0.8283435
Ajj kl Aisa TV m hi achha lgta h riyl life m Aisa Kuchh ni hota I don't love,neutral,sad,0.82784516
Sher sher hi honda ae Lion Is back,neutral,happy,0.82675415
Ali bhai until now they should have been behind the bars. But alas we are still watching and nothing happend.,anger,sad,0.82601225
Bahut acchi baat hai sir,neutral,happy,0.82561016
Sense hin na hai usme.,anger,neutral,0.8250892
Product placement zabardast Kia hai,neutral,happy,0.825022
"Bhai eak like chor dein,,,,,, u are a very knowledgeable person",neutral,happy,0.8234671
MOS_DrSingh_HelpUs Sir corona se itna darr ni lgta jitna SSC aur UFM se lg rha h.. Please help kijiye hmari..,sad,neutral,0.8225812
Kismt k age sb haar jate h.... it's true.....ND song was febexx.,neutral,sad,0.8214999
Paper ka kya kre Condition of every students of class about remaining papers.,sad,neutral,0.8212762
Je dena hai te dil nay sath tu de....... Killer of all Awesome in all ways....,neutral,happy,0.8211337
Back back back yo yo because mujha tu pasand ha,neutral,happy,0.8205671
Gul bukhari PTI walay khamosh hai aik minister be nazar nhi arha kia waja hai darty hai ....,neutral,anger,0.81958836
Guru naya gana banao i like you song please maed new song,neutral,happy,0.8193264
A.O.A bro Sadamm Hussain pe aik video bana do bundles of thanks,neutral,happy,0.818886
Yaar seriously amazing ankhon me ansoo a gye,surprise,happy,0.8185252
Mery bhai Dubai me Saudia sy bhi phly aya ha par Mate0 lite is sy best hai Hai tu smae par camera thora acha hai,neutral,happy,0.817305
"Nawaz Haq lay leta, agar receipts lay aata; ab app chor ko to defend na karen.. jo dawai lenay gaya abhi tak na uss nay dawai li na he wo bemaar hua... Apnay mayar ko drust simat lay kar jain... atleast choron say mawazna na karen.... ye PM abhi karzay he utaar raha hai.",neutral,anger,0.8150642
Only for come yo yo honey singer yhi sunne aya tha Aur Ghana OK OK Not to good If you agree hit like Love yo yo,neutral,happy,0.8145208
"Tbh what else were we expecting? Jahan kabhi traffic rules follow nahi hoye, koi discipline nahi overall, tou corona kia cheez hai?",sad,anger,0.8144074
afghan qoam ka naam afghan q hai afghans people apne apko afghans q kehte hain afghan lafz ka origin wo kehte hai bani israel ka koi king tha afghana to uski qoam ya tribes jo thy wo sab afghans kehlae,neutral,anger,0.8137752
Wow so nice....... Really this is amazing video........ KFC ka chicken waqia ma boooooot maza ka ha...... Kay baat ha es ko banana Wala ke ma aksar jab b KFC jati ho es pic k bara ma mara mind ma question ata ha k ya kis ke pic ha aj muga answer b mil gay wow so nice,neutral,surprise,0.81325895
Yehi k newbies ko b pormote kr diya karo celeb to pehly hi viral hain har page py insta py Hmara humor humor nahi hota kia,neutral,anger,0.812948
Bhai is back yo yo,neutral,happy,0.81289047
Pta nai kya hay confusion . Koi ke Raha hay Corona itna phayla nai hay jitna media dikha Raha hay koi kya kehta hay koi kya,neutral,anger,0.8128228
Super hit song unbeatable Pehle Ki Tarah cha gye guru,neutral,happy,0.81165695
Spiti ke side kahi le thi kya,neutral,anger,0.811618
Itna gussa aaraha hai guys share songs that pacify you pls,anger,neutral,0.8115675
"Sir, cycle bhi usne govt k diye paise se hi khareed thi... Plz go through her interview... Everyone is struggling today due to Corona crisis &amp; finding their way to survive.. She chose cycling",neutral,sad,0.8109486
"I get that life and death is in Allahs hands, but why go with the sab XYZ kar rahay hain, kuch nahin hota notion when you know that the spike everyone feared two weeks ago, is here? When you literally have relatives affected/dying? Powerless, hopeless.",fear,anger,0.80797935
"Or jo tm ke rahi ho k sbkooo hi promote krdein, esa to obviously nai hone wala...Medical wale jese tm, phas chuke, Bad luck yk....is baar sirf nikamon ka tukka lgega ya phir kisi ka nahi...",neutral,anger,0.80734813
Dekho aaya yo yo back,neutral,happy,0.8072223
Real superstar... Sirf trailer ne hi trending bna daali video... .. Yo YO Honey singh...,neutral,happy,0.80556655
