text,token,attribution_score,true_label,predicted_label
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁she,-0.02562074549496174,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁is,-0.12672972679138184,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁promo,0.33941173553466797,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,ting,-0.040743958204984665,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁that,-0.025022881105542183,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁song,-0.08038970082998276,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁more,-0.2211943119764328,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,</s>,0.0,neutral,anger
Bhai ka weight ho Gaya hai Bhari,<s>,0.0,neutral,neutral
Bhai ka weight ho Gaya hai Bhari,▁Bhai,-0.2679489254951477,neutral,neutral
Bhai ka weight ho Gaya hai Bhari,▁ka,0.08287417888641357,neutral,neutral
Bhai ka weight ho Gaya hai Bhari,▁weight,0.5720677971839905,neutral,neutral
Bhai ka weight ho Gaya hai Bhari,▁ho,-0.18544480204582214,neutral,neutral
Bhai ka weight ho Gaya hai Bhari,▁Gaya,0.5711690783500671,neutral,neutral
Bhai ka weight ho Gaya hai Bhari,▁hai,-0.4319630265235901,neutral,neutral
Bhai ka weight ho Gaya hai Bhari,▁Bhar,-0.20562408864498138,neutral,neutral
Bhai ka weight ho Gaya hai Bhari,i,-0.06764945387840271,neutral,neutral
Bhai ka weight ho Gaya hai Bhari,</s>,0.0,neutral,neutral
I love u harshal plzzz MRI life ma Avi ja ne,<s>,0.0,sad,happy
I love u harshal plzzz MRI life ma Avi ja ne,▁I,0.4183725416660309,sad,happy
I love u harshal plzzz MRI life ma Avi ja ne,▁love,0.050987306982278824,sad,happy
I love u harshal plzzz MRI life ma Avi ja ne,▁u,0.45472708344459534,sad,happy
I love u harshal plzzz MRI life ma Avi ja ne,▁har,0.249606654047966,sad,happy
I love u harshal plzzz MRI life ma Avi ja ne,s,0.08185043931007385,sad,happy
I love u harshal plzzz MRI life ma Avi ja ne,hal,-0.008818753063678741,sad,happy
I love u harshal plzzz MRI life ma Avi ja ne,▁pl,0.10465981811285019,sad,happy
I love u harshal plzzz MRI life ma Avi ja ne,zzz,0.2321815937757492,sad,happy
I love u harshal plzzz MRI life ma Avi ja ne,▁M,-0.6472580432891846,sad,happy
I love u harshal plzzz MRI life ma Avi ja ne,RI,-0.14875122904777527,sad,happy
I love u harshal plzzz MRI life ma Avi ja ne,▁life,-0.13177303969860077,sad,happy
I love u harshal plzzz MRI life ma Avi ja ne,▁ma,0.11662217974662781,sad,happy
I love u harshal plzzz MRI life ma Avi ja ne,▁A,0.0033300251234322786,sad,happy
I love u harshal plzzz MRI life ma Avi ja ne,vi,0.07504246383905411,sad,happy
I love u harshal plzzz MRI life ma Avi ja ne,▁ja,0.05921405553817749,sad,happy
I love u harshal plzzz MRI life ma Avi ja ne,▁ne,0.021484550088644028,sad,happy
I love u harshal plzzz MRI life ma Avi ja ne,</s>,0.0,sad,happy
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,<s>,0.0,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁bhai,-0.09235532581806183,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁wo,-0.16945110261440277,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁kaam,-0.0025528680998831987,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁tha,0.002900037681683898,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁usko,-0.054520752280950546,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁nhi,-0.13349132239818573,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁sm,0.269765168428421,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,jh,0.05582638084888458,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁a,-0.09031727910041809,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,aya,0.128739595413208,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁andar,0.027066484093666077,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁so,0.00573382992297411,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁kr,0.013829383999109268,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁liya,-0.008199772797524929,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁u,0.07768591493368149,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,ske,0.08257614076137543,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁baad,-0.02018912509083748,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁l,0.08140144497156143,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,d,0.04398578405380249,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,ki,-0.020660821348428726,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁ki,-0.06636150926351547,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁kis,0.043612636625766754,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,mat,0.019925223663449287,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁dekh,0.0312737412750721,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁tu,0.1279769241809845,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁bhu,-0.0596364326775074,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,la,0.1318625509738922,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁dung,-0.03994668647646904,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,a,0.10610107332468033,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁st,0.11823037266731262,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁song,0.06420765072107315,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁tha,0.19637922942638397,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁after,0.06542383134365082,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁,0.3059656023979187,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,bb,-0.05862869322299957,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁fame,-0.05578141659498215,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁or,-0.013373895548284054,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁kya,-0.005643292795866728,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁k,0.4809796214103699,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,maal,0.2036735713481903,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁kiya,0.09559458494186401,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁si,-0.06435806304216385,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,d,0.2296643704175949,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁sana,-0.017345262691378593,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁ne,-0.03755728900432587,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁a,-0.01640738546848297,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,bhi,0.06735038012266159,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁ko,-0.01221748162060976,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁a,-0.033106688410043716,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,a,0.025357775390148163,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁r,0.18305568397045135,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,ha,0.08621407300233841,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁h,-0.018686844035983086,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁t,0.31110912561416626,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,b,-0.04253130778670311,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁bhi,0.06306568533182144,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁acha,-0.020534314215183258,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,▁kre,-0.11969339102506638,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,gi,-0.30497217178344727,neutral,anger
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,</s>,0.0,neutral,anger
Not good this time sorry agar bura laga ho,<s>,0.0,neutral,sad
Not good this time sorry agar bura laga ho,▁Not,0.6840019226074219,neutral,sad
Not good this time sorry agar bura laga ho,▁good,-0.05071789771318436,neutral,sad
Not good this time sorry agar bura laga ho,▁this,0.3791351616382599,neutral,sad
Not good this time sorry agar bura laga ho,▁time,0.22594648599624634,neutral,sad
Not good this time sorry agar bura laga ho,▁sorry,0.4819995164871216,neutral,sad
Not good this time sorry agar bura laga ho,▁agar,-0.15889330208301544,neutral,sad
Not good this time sorry agar bura laga ho,▁bura,0.25690174102783203,neutral,sad
Not good this time sorry agar bura laga ho,▁laga,-0.03697655722498894,neutral,sad
Not good this time sorry agar bura laga ho,▁ho,-0.09918368607759476,neutral,sad
Not good this time sorry agar bura laga ho,</s>,0.0,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,<s>,0.0,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,▁sir,0.004400061909109354,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,▁mai,0.16433528065681458,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,▁ek,-0.07183478027582169,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,▁female,-0.022821053862571716,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,▁hair,-0.03722917661070824,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,sty,-0.01634550653398037,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,list,-0.018465368077158928,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,▁hu,0.0016383547335863113,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,▁hum,-0.04553729295730591,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,are,0.03870260715484619,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,▁bare,0.025457270443439484,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,▁mai,0.09447671473026276,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,▁bhi,-0.017277469858527184,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,▁kuch,-0.015352128073573112,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,▁so,0.04792230576276779,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,cho,-0.15333694219589233,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,▁hum,-0.0627417340874672,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,▁kab,-0.11421386152505875,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,▁tak,0.09799478203058243,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,▁ghar,-0.010006311349570751,neutral,sad
sir mai ek female hairstylist hu humare bare mai bhi kuch socho hum kab tak ghar rahenge ab salons kholne ke bare mai bhi socho humara ghar salons se hi chalta hai aap batao hum log kya kare hume to koi help nahi kar raha salon line mai % ladies work karti hai plss help us,▁rahe,0.011720963753759861,neutral,sad
