text,label,text_clean
Excuse me...I was talking very politely...so u also better behave...i didn't said ki flights cancel ni hui...mne sirf ye kha h ki qatar ki govt ne clearly mention ni kia h cancellation ka reason aur unhone flights Tuesday ki reschedule bhi krdi thi...now u read my tweet again..,neutral,Excuse me...I was talking very politely...so u also better behave...i didn't said ki flights cancel ni hui...mne sirf ye kha h ki qatar ki govt ne clearly mention ni kia h cancellation ka reason aur unhone flights Tuesday ki reschedule bhi krdi thi...now u read my tweet again..
mera weight ho gya bary,neutral,mera weight ho gya bary
Abi to party suru hui h . Nice trailar wait for song,neutral,Abi to party suru hui h . Nice trailar wait for song
Haha bhai isko na phasao phir yeh kahy ga boss Mena Bola kya ha,happy,Haha bhai isko na phasao phir yeh kahy ga boss Mena Bola kya ha
"Yes, abh to kuch songs aise hai Jo mjhe Papa se pata lagte hai, unke pass cassette collection h of around casettes",neutral,"Yes, abh to kuch songs aise hai Jo mjhe Papa se pata lagte hai, unke pass cassette collection h of around casettes"
Allah Pak ko barey bol nahi pasand or iss jahaz ko Bashar k barey bol nay he dubo diya Good information,happy,Allah Pak ko barey bol nahi pasand or iss jahaz ko Bashar k barey bol nay he dubo diya Good information
"I am ashamed of seeing u as a leader of Indian soil. Your language is not at all justified, i will tell to next-generation, sab kuch bnna but na banna. shame on you #arrestalkalamba",anger,"I am ashamed of seeing u as a leader of Indian soil. Your language is not at all justified, i will tell to next-generation, sab kuch bnna but na banna. shame on you arrestalkalamba"
And han sb thora social media se waqt mily tu as pe nazar dal dijye ga Larkana Sindh thanku so much marny ki fikar nhi ab mout barhak hai ap ki politicians ki wajah se waisy bhe hum sindh ki awam ghut ghut ke mar he fahy as se axha ek he br halak ho jaen hum thankusm,anger,And han sb thora social media se waqt mily tu as pe nazar dal dijye ga Larkana Sindh thanku so much marny ki fikar nhi ab mout barhak hai ap ki politicians ki wajah se waisy bhe hum sindh ki awam ghut ghut ke mar he fahy as se axha ek he br halak ho jaen hum thankusm
if this is wrong then please be invisible. We have enough problems to deal with and you are making it worse. What kind of sick minded person can post such an emotional video wo bhi aise time mai? #DoobMaroRanaAyyub #ShameonRanaAyyub,anger,if this is wrong then please be invisible. We have enough problems to deal with and you are making it worse. What kind of sick minded person can post such an emotional video wo bhi aise time mai? DoobMaroRanaAyyub ShameonRanaAyyub
Iftari ke baad aese cheezain upload kia karo bhai,neutral,Iftari ke baad aese cheezain upload kia karo bhai
Itna close ho aap? Wah yaar milte hai kabhi lockdown ke baad,surprise,Itna close ho aap? Wah yaar milte hai kabhi lockdown ke baad
Views rok.. Gaya hai,neutral,Views rok.. Gaya hai
Very nice video your video is always good i am your subscriber since long time ago bhai mujhe jitna lagta hai ye un logo ke guroor ke wajah se hua.kyo ke guroor ka sir hameesha nicha hota hai.un logo ne ye kaha tha ke isse koi kuch nahi kar sakta NAOZOBILLAH khuda bhi nahi. To mujhe lagta hai ke yahi wajah hai Titanic ke dhoob ne ki..,happy,Very nice video your video is always good i am your subscriber since long time ago bhai mujhe jitna lagta hai ye un logo ke guroor ke wajah se hua.kyo ke guroor ka sir hameesha nicha hota hai.un logo ne ye kaha tha ke isse koi kuch nahi kar sakta NAOZOBILLAH khuda bhi nahi. To mujhe lagta hai ke yahi wajah hai Titanic ke dhoob ne ki..
mere channel mein saare all total song hai -see if you like songs,neutral,mere channel mein saare all total song hai -see if you like songs
Sir ap parliment mai aa kr b jwab dete. Pata chalay k swalo k jwab de skte b hai k nai,neutral,Sir ap parliment mai aa kr b jwab dete. Pata chalay k swalo k jwab de skte b hai k nai
diet proper lo waqt khao faaqy mat kiya kro- waqt khany sy wait gain ni ho ga,neutral,diet proper lo waqt khao faaqy mat kiya kro- waqt khany sy wait gain ni ho ga
Isiliye kehte hain bachchon ko school bhejna chahiye sirf bomb banane ki factories nahi,neutral,Isiliye kehte hain bachchon ko school bhejna chahiye sirf bomb banane ki factories nahi
"Jaise ko taisa jawab Dena parhta hai. Mai modi ko vote nahi deta that doesn't make me an enemy. But agar dushmani tum supporters karoge, fake news ke bahaane maaroge, toh yaar phool nahi barasne waale. Yaha Mera hi Ghar nahi hai. Sab Ghar me aag lagti hai ek ke chakkar me",anger,"Jaise ko taisa jawab Dena parhta hai. Mai modi ko vote nahi deta that doesn't make me an enemy. But agar dushmani tum supporters karoge, fake news ke bahaane maaroge, toh yaar phool nahi barasne waale. Yaha Mera hi Ghar nahi hai. Sab Ghar me aag lagti hai ek ke chakkar me"
: ... besides its main purposes of water storage and producing MW of cheap and affordable electricity for meeting energ,neutral,: ... besides its main purposes of water storage and producing MW of cheap and affordable electricity for meeting energ
mera bahi b asa hi ha we can not leave without brother,neutral,mera bahi b asa hi ha we can not leave without brother
Mujhe infinix hot lte chahiye kisi ne sell kerna ho to rabta krain,neutral,Mujhe infinix hot lte chahiye kisi ne sell kerna ho to rabta krain
Come back honey Singh ab bheji bhadshah ki band,happy,Come back honey Singh ab bheji bhadshah ki band
Sir ni rhe ga par jiss company meh job karte hai uno neh job se regin dalne ka bola.. HDB FINANCIAL SERVICES JODHPUR RAJASTHAN,neutral,Sir ni rhe ga par jiss company meh job karte hai uno neh job se regin dalne ka bola.. HDB FINANCIAL SERVICES JODHPUR RAJASTHAN
sir this work is pending last Sanjay park baljeet nagar mai pine ka pani nahi mil raha logo ko please help me,neutral,sir this work is pending last Sanjay park baljeet nagar mai pine ka pani nahi mil raha logo ko please help me
mujhe naraaz karna itna asaan nahi hai ji but i try to post market related stuff so that new traders get motivated...and i post original quotes and quote by others and when you said that copy paste band karo and all.. so i thought that you got hurt or offended...,neutral,mujhe naraaz karna itna asaan nahi hai ji but i try to post market related stuff so that new traders get motivated...and i post original quotes and quote by others and when you said that copy paste band karo and all.. so i thought that you got hurt or offended...
China ki Faulty kit hai..jitne positive hote hain next day negative ho jaate hai..,sad,China ki Faulty kit hai..jitne positive hote hain next day negative ho jaate hai..
Mohd amir is best bowler wahab koi kaam ka nahi hain,neutral,Mohd amir is best bowler wahab koi kaam ka nahi hain
Q s5 lite kisy ky pas hai to contact kry mujy ky andar ho warranty mein lahore se,neutral,Q s5 lite kisy ky pas hai to contact kry mujy ky andar ho warranty mein lahore se
"Kaun hai jo lahaja garam rakhata hai ? Garmi se baat bigad jaati hai , dil ki thandak hi baat banaa jaati: hai . Good Morning !!",neutral,"Kaun hai jo lahaja garam rakhata hai ? Garmi se baat bigad jaati hai , dil ki thandak hi baat banaa jaati: hai . Good Morning !!"
Any one tell me. Is ma unknown numbers block krne ka function ha,neutral,Any one tell me. Is ma unknown numbers block krne ka function ha
Sirji delhi maange curfew..tabhi haalat sudherenge..specially slums me strictness honi chhaiye vahan log groups bana kar baat karte rehte hai..koi social distancing nahi follow kar raha,neutral,Sirji delhi maange curfew..tabhi haalat sudherenge..specially slums me strictness honi chhaiye vahan log groups bana kar baat karte rehte hai..koi social distancing nahi follow kar raha
Dunya me sab log hi badal hate gain its really heart touching,sad,Dunya me sab log hi badal hate gain its really heart touching
me lrka hoti tm phr b ignore krti,neutral,me lrka hoti tm phr b ignore krti
Sir kuch school fee ka bhi karyee puri nhi to aadhi hi maaf karwaa dejeye middle class ki haalat khrab hi. We are facing salary cut across industry. Please help in this matter. Request to you.,neutral,Sir kuch school fee ka bhi karyee puri nhi to aadhi hi maaf karwaa dejeye middle class ki haalat khrab hi. We are facing salary cut across industry. Please help in this matter. Request to you.
bhai mere sath ek tournament khel lo please bhai big fan ek chota sa tournament win karva do bhai please aapke team ke player ho to bhi ho jayega Pubg id=royalGG,neutral,bhai mere sath ek tournament khel lo please bhai big fan ek chota sa tournament win karva do bhai please aapke team ke player ho to bhi ho jayega Pubg id=royalGG
Ali bhai time to walk the talk. Ye barkain marna band karain. Aik ATA FIR tu thaana kaat nahi raha aur aap ke moula jutt wali batain. Sir time for qanoon to take action. Arrest the culprits after ATA FIR and then do the qanoon sb ke leye barabar wali tweet.,anger,Ali bhai time to walk the talk. Ye barkain marna band karain. Aik ATA FIR tu thaana kaat nahi raha aur aap ke moula jutt wali batain. Sir time for qanoon to take action. Arrest the culprits after ATA FIR and then do the qanoon sb ke leye barabar wali tweet.
Aur tum ek bat btao tum logo ki sirf modi aur yogi se hi darr lagta hai wo kyo,neutral,Aur tum ek bat btao tum logo ki sirf modi aur yogi se hi darr lagta hai wo kyo
I need S3 qmobile touch screen display.... Plz if anyone have text me or call me:,neutral,I need S3 qmobile touch screen display.... Plz if anyone have text me or call me:
Wow Nice Bhai . Asif Ali TV pahla videos bana raha. Ya phir app . Please Please. Reply.,happy,Wow Nice Bhai . Asif Ali TV pahla videos bana raha. Ya phir app . Please Please. Reply.
Bro abb save hoti to ma tera ko prove deta. Usne Bola tha Sana ka sath song ka bare ma and wo usne Sana ka liya BB sa phale bhi song likha tha Jo release ho chuka h,neutral,Bro abb save hoti to ma tera ko prove deta. Usne Bola tha Sana ka sath song ka bare ma and wo usne Sana ka liya BB sa phale bhi song likha tha Jo release ho chuka h
#KarnatakaGovt Q Bihar ke mazdur o ka Train cancel kiya us par aap sawal Q nahi puch te? Sirf apna TRP ke liye kab tak yeh doglapanti dikhao gey?,neutral,KarnatakaGovt Q Bihar ke mazdur o ka Train cancel kiya us par aap sawal Q nahi puch te? Sirf apna TRP ke liye kab tak yeh doglapanti dikhao gey?
Yo yo fan like ke record to do,neutral,Yo yo fan like ke record to do
Lockdown mei sabka humour side samne aa rha hai,happy,Lockdown mei sabka humour side samne aa rha hai
Woh life ka part hai aur rahegi bhi,neutral,Woh life ka part hai aur rahegi bhi
Again supeb video you r too good man Kia bat hai Bhai apka andaz a guftgo bht lajwab hai,happy,Again supeb video you r too good man Kia bat hai Bhai apka andaz a guftgo bht lajwab hai
ghante me millions hone chahiye,neutral,ghante me millions hone chahiye
Ye jo tumhari harkatay hai ye mazak nahi hai. May salzy ko call karta hun abhi. Tumhara bandobast tu karao na.,anger,Ye jo tumhari harkatay hai ye mazak nahi hai. May salzy ko call karta hun abhi. Tumhara bandobast tu karao na.
Pehly iskooo sambhalooo Isskiii Tu legs pay kaam nhiiii krrrr raheeen,neutral,Pehly iskooo sambhalooo Isskiii Tu legs pay kaam nhiiii krrrr raheeen
I always watch Bt d way u anchoring frm few days are so sad. She is behaving like BJP correspondent. Otherside how beautifully she anchors all d news. Constantly making fun to othr party- Lac Crore me kitne ZERO hai. #Sad #NotAcceptable,anger,I always watch Bt d way u anchoring frm few days are so sad. She is behaving like BJP correspondent. Otherside how beautifully she anchors all d news. Constantly making fun to othr party- Lac Crore me kitne ZERO hai. Sad NotAcceptable
BHai kHtM sonG hai diL kHus nii hua,sad,BHai kHtM sonG hai diL kHus nii hua
Sir How to produce anti metter Is py ak video bany plzzzzzzzzzzz sir,neutral,Sir How to produce anti metter Is py ak video bany plzzzzzzzzzzz sir
Raftaar and Badshah bhot mauj leli aa gya tumhaara baap,neutral,Raftaar and Badshah bhot mauj leli aa gya tumhaara baap
Sir aaj aap ne khush ker deyaa,happy,Sir aaj aap ne khush ker deyaa
friends main na aj ya set khreeda ha bht khoob surat look ha i-phone ka level pa aata h,happy,friends main na aj ya set khreeda ha bht khoob surat look ha i-phone ka level pa aata h
aap ki video mein bohat sachi hai i love your videos,happy,aap ki video mein bohat sachi hai i love your videos
"Imran khan ne kon sa turra Kar li hn wo b apne Corrupt Members ko Bachata hn BRT case kaha Gaya, Malam Jabaa ki zameen ka case, baqi jo corrupt log PTI me shamil hn unka Ahtasaab NH Kia or party me le Lia just is le k PM Baan Jay or ab PM Baan jany k bad Awaam gai Baahr Main...",anger,"Imran khan ne kon sa turra Kar li hn wo b apne Corrupt Members ko Bachata hn BRT case kaha Gaya, Malam Jabaa ki zameen ka case, baqi jo corrupt log PTI me shamil hn unka Ahtasaab NH Kia or party me le Lia just is le k PM Baan Jay or ab PM Baan jany k bad Awaam gai Baahr Main..."
sir mery pas kuch ideas hen agar ap sunna chahen tu ya koi ap ka musher,neutral,sir mery pas kuch ideas hen agar ap sunna chahen tu ya koi ap ka musher
"Kargil se foaj vapis kis kanjar k bachy my mangvai thi jb Musharraf km andar khara tha India k, modi k maan ko sarhiyan r aamon petiyan kaun kanjar bhejta tha,raw ka chief bina visa k kis kutti k bachy ko milny aata tha Pak? R kis k sugar mills mn raw k agent pakray gye? Ghadar",anger,"Kargil se foaj vapis kis kanjar k bachy my mangvai thi jb Musharraf km andar khara tha India k, modi k maan ko sarhiyan r aamon petiyan kaun kanjar bhejta tha,raw ka chief bina visa k kis kutti k bachy ko milny aata tha Pak? R kis k sugar mills mn raw k agent pakray gye? Ghadar"
Kya bakchodi gaana hai maza nahi aaya.may be Honey singh is not king now.,anger,Kya bakchodi gaana hai maza nahi aaya.may be Honey singh is not king now.
: Allah nay bhi har field me mujhe talentless rakha hai.,sad,: Allah nay bhi har field me mujhe talentless rakha hai.
"Yeah guys, chotyaa bantay raho inkay hathun yeh sad ho jati hen ni tu.",anger,"Yeah guys, chotyaa bantay raho inkay hathun yeh sad ho jati hen ni tu."
Bhai main aapka bahot bada fan hu par is song main kuch missing hai i don't know what was that i am really confuse'd but also...glad to see you again...,happy,Bhai main aapka bahot bada fan hu par is song main kuch missing hai i don't know what was that i am really confuse'd but also...glad to see you again...
Unka alag say poll banaya tha unk apny account par... baqi lifafi kehny walo thora batao Peshawar metro ka kia howa? Kisne corruption ki hai?,anger,Unka alag say poll banaya tha unk apny account par... baqi lifafi kehny walo thora batao Peshawar metro ka kia howa? Kisne corruption ki hai?
Sir you are amazing .. Bermuda triangle pe b koi video bnaen ...,happy,Sir you are amazing .. Bermuda triangle pe b koi video bnaen ...
Logo ko kuch terrorist se bachane k liye kiya ye. Saf ho rha h kashmir. Don't worry. Corona se bachke rho. Vo hi bhut h,neutral,Logo ko kuch terrorist se bachane k liye kiya ye. Saf ho rha h kashmir. Don't worry. Corona se bachke rho. Vo hi bhut h
Shadishuda hone ke bawjud kisi aur ladki ke sath Rishta Rakhna Akshay ghar ka Ladka nahi hai Yeh Sab ladke acche acche ladkiyon ka Zindagi tabah kar deta hai I hate this,anger,Shadishuda hone ke bawjud kisi aur ladki ke sath Rishta Rakhna Akshay ghar ka Ladka nahi hai Yeh Sab ladke acche acche ladkiyon ka Zindagi tabah kar deta hai I hate this
Kab ka dekhliya Maine tu uske baad elite bhi dekhliya abhi Ertugal chal Raha hai aaj kal,neutral,Kab ka dekhliya Maine tu uske baad elite bhi dekhliya abhi Ertugal chal Raha hai aaj kal
Yar kabhi kabhi ap kamal hi ker datay hain. Love your threads games.,happy,Yar kabhi kabhi ap kamal hi ker datay hain. Love your threads games.
Iska agla cover song ane wala hai aj sham ko channel ko subscribe kare,neutral,Iska agla cover song ane wala hai aj sham ko channel ko subscribe kare
PM cares ki fund modi apni party mai kharch karega......jo ukhad na hai ukhad lo,anger,PM cares ki fund modi apni party mai kharch karega......jo ukhad na hai ukhad lo
May god bless you dear #YoYo Ab hogi sabki bolti band..,happy,May god bless you dear YoYo Ab hogi sabki bolti band..
Lockdown me banday aur kya karain?,neutral,Lockdown me banday aur kya karain?
"Sindh ka lockdown acha hota hay, Punjab ka Ghalat hota hy, Lock down Haftay ka hona chahyeah tha. Barbad Kar dia... Aur abb Tou Lockdown hay he naheen... Tou Barbaad kar dia.. Kabhi Lockdown ki Himayat Kabhi Lockdown ki Mukhalfat, Chacha Charsi",anger,"Sindh ka lockdown acha hota hay, Punjab ka Ghalat hota hy, Lock down Haftay ka hona chahyeah tha. Barbad Kar dia... Aur abb Tou Lockdown hay he naheen... Tou Barbaad kar dia.. Kabhi Lockdown ki Himayat Kabhi Lockdown ki Mukhalfat, Chacha Charsi"
Bhot din ho gya tha yar new song mei yo yo honey Singh sune huye finally he is back Love you so much I'm your biggest fan,happy,Bhot din ho gya tha yar new song mei yo yo honey Singh sune huye finally he is back Love you so much I'm your biggest fan
Tnx uh bhai vapis ane k liye so much of love for u,happy,Tnx uh bhai vapis ane k liye so much of love for u
Nice jaise b ti jitny b maslay jhely per wo pari likhi ti sab se badi chez ti us k pas PARHAI ...i want to share my story and problem plzz reply reality tv,neutral,Nice jaise b ti jitny b maslay jhely per wo pari likhi ti sab se badi chez ti us k pas PARHAI ...i want to share my story and problem plzz reply reality tv
Uncle app nai video kab banayen gay please reply me,neutral,Uncle app nai video kab banayen gay please reply me
Bhai view nhi badh rahi T series kuch kro,neutral,Bhai view nhi badh rahi T series kuch kro
sir can u tell me ap kese yeh information akhty krtay,neutral,sir can u tell me ap kese yeh information akhty krtay
Bullshitt Jitna ecpect kiya tha bilkul b wasa nhi hai Ghattya song hai Pure month laga fiye es chutya song ke kiye Honey singh kya chuttya songa dala hai,anger,Bullshitt Jitna ecpect kiya tha bilkul b wasa nhi hai Ghattya song hai Pure month laga fiye es chutya song ke kiye Honey singh kya chuttya songa dala hai
Bahut bura song Sad kiya,anger,Bahut bura song Sad kiya
Or hm na abhi news soni ha k china na tmhari la li hy afsoos hova,sad,Or hm na abhi news soni ha k china na tmhari la li hy afsoos hova
"A good entry level device and I am using it from a year, camera is satisfactory but flashlight is bad. Battery is bad too, display and processing power is low and G performance is normal. Apps load slow mostly.......",neutral,"A good entry level device and I am using it from a year, camera is satisfactory but flashlight is bad. Battery is bad too, display and processing power is low and G performance is normal. Apps load slow mostly......."
mic kon sa use karty ho ap ....awesome work dude......MIC kon sa hai ap ka,neutral,mic kon sa use karty ho ap ....awesome work dude......MIC kon sa hai ap ka
Ghari Khero main Shahr Khul Gaya ll VSH NEWS Report From Ghari Khero via,neutral,Ghari Khero main Shahr Khul Gaya ll VSH NEWS Report From Ghari Khero via
"Shivam bhai abhi kafi logo ko pata nahi hai , agar pata hoga toh vo bhi nahi Halal products buy nahi karenge. Un logo tak ye baat pahuchani hai bas.",neutral,"Shivam bhai abhi kafi logo ko pata nahi hai , agar pata hoga toh vo bhi nahi Halal products buy nahi karenge. Un logo tak ye baat pahuchani hai bas."
"She: Treat me like you would treat your sister. Me: Pagal ho kia, muky nhe seh payege, wo to phr bhi kha leti hai.",anger,"She: Treat me like you would treat your sister. Me: Pagal ho kia, muky nhe seh payege, wo to phr bhi kha leti hai."
yogi ji lockdown khatam ho jaane ke baad pass issue karenge kya,neutral,yogi ji lockdown khatam ho jaane ke baad pass issue karenge kya
pakistan walo plzzz le jao isko or exchange mein atif aslam de do plzzz...,neutral,pakistan walo plzzz le jao isko or exchange mein atif aslam de do plzzz...
"Ooh sahi, acha ye kia software bnana hota hai ya chalana seekhna hota hai",neutral,"Ooh sahi, acha ye kia software bnana hota hai ya chalana seekhna hota hai"
Zabardast song sare record tut jayenge Aab Sher vapish Agaya hai,happy,Zabardast song sare record tut jayenge Aab Sher vapish Agaya hai
Geo News AM Maj ki Mout ka dukh hae Lekin Ek Solgar ki Qurbani Ko Barha charaha Kar na Pesh Kia jaea Election main yehi Jawan Thea . Election main Vote ki Hefazet k bajaea Vote chri Huwa Aaj Qum Jali hukomet ki Wajah sea,anger,Geo News AM Maj ki Mout ka dukh hae Lekin Ek Solgar ki Qurbani Ko Barha charaha Kar na Pesh Kia jaea Election main yehi Jawan Thea . Election main Vote ki Hefazet k bajaea Vote chri Huwa Aaj Qum Jali hukomet ki Wajah sea
Jahil tu app hoo Jo saloon main bhe Sindhi nhain bany or na he Pakistani ban saky. Or jahil kahty ho sindhyon ko. Pahly apni pahchan banao... Rich culture koun sa. Kuch pata bhe hai. Pahly kuch banoo jahil .. or galy tum ho... Jis ko khud ka pata nhain,anger,Jahil tu app hoo Jo saloon main bhe Sindhi nhain bany or na he Pakistani ban saky. Or jahil kahty ho sindhyon ko. Pahly apni pahchan banao... Rich culture koun sa. Kuch pata bhe hai. Pahly kuch banoo jahil .. or galy tum ho... Jis ko khud ka pata nhain
it's a nice cell phone but its price is too much high. is ke price to tak honi chahye,neutral,it's a nice cell phone but its price is too much high. is ke price to tak honi chahye
: Asim ke project already decided hain isliye usko koi controversy main nahi jana hai. Uske upar god grace hai itna dek,neutral,: Asim ke project already decided hain isliye usko koi controversy main nahi jana hai. Uske upar god grace hai itna dek
: Please Shehnaazians understand she loves u all more than anything elsem U are her army. Pleaae uski ye wish puri kro. Sh,neutral,: Please Shehnaazians understand she loves u all more than anything elsem U are her army. Pleaae uski ye wish puri kro. Sh
Imran Khan teri itne auqat nhi the bs tjy selected bna k jo lia gia tha na.aj k din tj Karachi hna chaiey tha logo ki khariyt pchty lkn tjy awam sy kia lena,anger,Imran Khan teri itne auqat nhi the bs tjy selected bna k jo lia gia tha na.aj k din tj Karachi hna chaiey tha logo ki khariyt pchty lkn tjy awam sy kia lena
I am proud to be a BJP Voter ...Otherwise lakh crore ka scam ho gya hota lockdown mein ab tak..,happy,I am proud to be a BJP Voter ...Otherwise lakh crore ka scam ho gya hota lockdown mein ab tak..
"Oh bhaiii, new episodes dikhao. Khatam karo isay jaldi. Adha Pakistan dekh chuka hai puri series, tm log peech k peeche jarahay.",anger,"Oh bhaiii, new episodes dikhao. Khatam karo isay jaldi. Adha Pakistan dekh chuka hai puri series, tm log peech k peeche jarahay."
bhai view kiu nahi bd rahe hai syd you tube hang ho gya yo yo power,happy,bhai view kiu nahi bd rahe hai syd you tube hang ho gya yo yo power
Sir ek dosra bhe Trend chalaey jo wafak government ko bata de k Sindh se itne dushmne kiyo kr rhe hen..,neutral,Sir ek dosra bhe Trend chalaey jo wafak government ko bata de k Sindh se itne dushmne kiyo kr rhe hen..
"Kon Kon Chahta Ye Gana Hit Ho Jaae, Hit Like",neutral,"Kon Kon Chahta Ye Gana Hit Ho Jaae, Hit Like"
Kon bosdi wala unlike kar rha ma chodunga ek taraf sa,anger,Kon bosdi wala unlike kar rha ma chodunga ek taraf sa
Rs ki price mein bahot acha Mobile hy ye. Main use kr raha hon weeks se ziada ho gae hain aur bahot acha Experience raha hy mera to. Camera result acha h,neutral,Rs ki price mein bahot acha Mobile hy ye. Main use kr raha hon weeks se ziada ho gae hain aur bahot acha Experience raha hy mera to. Camera result acha h
"Ap bhi khush rahay.... Mere liye sirf mera mulk pehle number per hay koi leader ya koi insaan nahi.... Aur jo mere mulk ko nuqsan pohunchaye ga may us ki bajao ga chahay wo NS ho , zardari ho ya khan ho....ya musharaf ho....",anger,"Ap bhi khush rahay.... Mere liye sirf mera mulk pehle number per hay koi leader ya koi insaan nahi.... Aur jo mere mulk ko nuqsan pohunchaye ga may us ki bajao ga chahay wo NS ho , zardari ho ya khan ho....ya musharaf ho...."
sir ager ho skta ha tu zara duniya ki sab sy mhangi dishes ki vidio bhi bna dy...thankyou in advance,neutral,sir ager ho skta ha tu zara duniya ki sab sy mhangi dishes ki vidio bhi bna dy...thankyou in advance
"Pr Mera weight ho gya thoda bhaari ,osm really osm King is back",neutral,"Pr Mera weight ho gya thoda bhaari ,osm really osm King is back"
sabs matlab word nahi hain mere pas yar......Thank you for give us beautiful song,neutral,sabs matlab word nahi hain mere pas yar......Thank you for give us beautiful song
Abe yaar muje lagi thi ke Pakistan main ghosts nahi hoti lekin yeh kya kehrahi hai. Im not gonna see Pakistan the same way again. Btw Im an afghan who was born in Pakistan and now lives in Australia,neutral,Abe yaar muje lagi thi ke Pakistan main ghosts nahi hoti lekin yeh kya kehrahi hai. Im not gonna see Pakistan the same way again. Btw Im an afghan who was born in Pakistan and now lives in Australia
Bahut acha kaam kia police ne,neutral,Bahut acha kaam kia police ne
A birthday of a random News anchor is twitter moment for India. Kya din aa gye hian Those who deserve won't get it,neutral,A birthday of a random News anchor is twitter moment for India. Kya din aa gye hian Those who deserve won't get it
ji mere bade Bhai hai auto chalate hai unohne rs ke liye April Mai online form bhara tha lakin paise nahi aaye,neutral,ji mere bade Bhai hai auto chalate hai unohne rs ke liye April Mai online form bhara tha lakin paise nahi aaye
You are great sir me ap ka nam janna chahun ga,happy,You are great sir me ap ka nam janna chahun ga
Assalam o alaikum agar kisi bhai ne exchange karna hai to content me mere pass Huawei nova plus hai Gb Gb new condition sath paise le lena punjab,neutral,Assalam o alaikum agar kisi bhai ne exchange karna hai to content me mere pass Huawei nova plus hai Gb Gb new condition sath paise le lena punjab
Jesi apki entry hai vesa hai gana hai ek dam mast hai,happy,Jesi apki entry hai vesa hai gana hai ek dam mast hai
Ye hai carona warrior's,neutral,Ye hai carona warrior's
Ajeeb baat hae degree temperature mein coat or muffler pehen k baithay huay hain without mask!?,surprise,Ajeeb baat hae degree temperature mein coat or muffler pehen k baithay huay hain without mask!?
Lockdown bhara dain gain log khain gain kidr sy ? Apka wala qarza b sbko nei mill raha koi khuda ko manain or sahi decision lain awam Corona sy na sahi bhuk sy maar Jaye gee.,anger,Lockdown bhara dain gain log khain gain kidr sy ? Apka wala qarza b sbko nei mill raha koi khuda ko manain or sahi decision lain awam Corona sy na sahi bhuk sy maar Jaye gee.
Jo match ki sakhti brdasht nahe krsakta wo bhala siaset ki sakhtion ko kisi jhel sakta hain... Jo log kehti hain afridi imran khan sai acha hain wo ahmaq hain.. #PMIKAgainstMafias#,anger,Jo match ki sakhti brdasht nahe krsakta wo bhala siaset ki sakhtion ko kisi jhel sakta hain... Jo log kehti hain afridi imran khan sai acha hain wo ahmaq hain.. PMIKAgainstMafias#
Me QMobile x0 sale krna Chata hoo. Serious customers contact me,neutral,Me QMobile x0 sale krna Chata hoo. Serious customers contact me
I don't think soo Ye zururi nhe k bok years pehly write ki gai ho ye fake h bd me ye bk write ki gai h,neutral,I don't think soo Ye zururi nhe k bok years pehly write ki gai ho ye fake h bd me ye bk write ki gai h
"Yeh dum foran kerwana hota hai, Jitna late utna kam asar hoga.",neutral,"Yeh dum foran kerwana hota hai, Jitna late utna kam asar hoga."
